,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
12319,Hunter: The Reckoning,Action,M,GC,Interplay,High Voltage Software,7.1,,0.1,0.08,0.02,,0.0,2002,1,,7.1
12425,Bullet Witch,Shooter,M,X360,Atari,Cavia Inc.,6.6,,0.1,0.07,0.01,0.02,0.01,2007,1,,6.6
12614,"Blast Works: Build, Trade, Destroy",Shooter,E,Wii,Majesco,BudCat Creations,8.2,,0.1,0.09,0.0,,0.01,2008,1,,8.2
12613,Ballistic: Ecks vs. Sever,Shooter,T,GBA,BAM! Entertainment,Crawfish Interactive,7.3,,0.1,0.07,0.03,,0.0,2002,1,,7.3
12632,MindJack,Shooter,M,X360,Square Enix,FeelPlus,4.5,,0.1,0.07,0.02,,0.01,2011,1,,4.5
12629,Yooka-Laylee,Platform,E10,XOne,Sold Out,Playtonic Games,,9.3,0.1,0.05,0.04,,0.01,2017,1,,9.3
12618,Steel Battalion,Simulation,T,XB,Capcom,"Capcom Production Studio 4 / Nude Maker Co., Ltd.",7.7,,0.1,0.05,0.02,0.02,0.0,2002,1,,7.7
12611,Castlevania Double Pack,Platform,T,GBA,Konami,KCET,9.0,,0.1,0.07,0.03,,0.0,2006,1,,9.0
12609,Darkest of Days,Shooter,M,X360,Phantom EFX,8MonkeyLabs,4.6,,0.1,0.09,,,0.01,2009,1,,4.6
12607,NASCAR,Racing,E,PSP,EA Sports,EA Tiburon,7.2,,0.1,0.09,,,0.01,2006,1,,7.2
12592,Heatseeker,Simulation,T,Wii,Codemasters,IR Gurus,5.5,,0.1,0.08,0.0,,0.01,2007,1,,5.5
12591,Shantae and the Pirate's Curse,Platform,E10,3DS,WayForward Technologies,WayForward Technologies,7.7,,0.1,0.05,,0.04,0.01,2016,1,,7.7
12590,The Legend of Heroes: Trails in the Sky,Role-Playing,T,PSP,Xseed Games,Nihon Falcom Corporation,8.1,,0.1,0.06,0.0,0.03,,2011,1,,8.1
12587,Classic NES Series: Excitebike,Racing,E,GBA,Nintendo,Nintendo,6.4,,0.1,,,0.1,,2004,1,,6.4
12571,Shadow Tower,Role-Playing,T,PS,Agetec,From Software,5.7,,0.1,0.01,0.01,0.07,0.01,1999,1,,5.7
12564,Dead or Alive 5 Plus,Fighting,M,PSV,Tecmo Koei,Team Ninja,8.0,,0.1,,0.06,0.03,0.02,2013,1,,8.0
12563,Cartoon Network: Punch Time Explosion,Fighting,E10,3DS,Crave Entertainment,Papaya Studios,5.6,,0.1,0.07,0.02,,0.01,2011,1,,5.6
12556,Blue Dragon: Awakened Shadow,Role-Playing,E10,DS,D3 Publisher,Mistwalker Corporation / tri-Crescendo / Bird Studio,5.7,,0.1,0.06,0.0,0.03,0.0,2010,1,,5.7
12459,NBA Ballers: Rebound,Sports,E,PSP,Midway Games,Backbone Entertainment,7.3,,0.1,0.09,,,0.01,2006,1,,7.3
12581,Ice Age 2: The Meltdown,Platform,E10,XB,Vivendi Games,Eurocom Entertainment Software,6.8,,0.1,0.07,0.02,,0.0,2006,1,,6.8
12508,Universal Studios Theme Parks Adventure,Misc,T,GC,Kemco,Kemco,5.1,,0.1,0.08,0.02,,0.0,2001,1,,5.1
12486,College Hoops 2K6,Sports,E,XB,2K Sports,Visual Concepts,8.3,,0.1,0.07,0.02,,0.0,2005,1,,8.3
12485,Dragon Ball: Evolution,Fighting,T,PSP,Namco Bandai,Dimps Corporation,3.4,,0.1,0.09,,,0.01,2009,1,,3.4
12491,Cubic Ninja,Platform,E,3DS,Ubisoft,AQ Interactive,5.5,,0.1,0.05,0.04,,0.01,2011,1,,5.5
12488,"Warhammer 40,000: Dawn of War II - Chaos Rising",Strategy,M,PC,THQ,Relic,8.6,,0.1,0.08,0.01,,0.01,2010,1,,8.6
12497,Harry Potter and the Deathly Hallows - Part 2,Action,E10,PC,Electronic Arts,EA Bright Light,4.3,,0.1,0.05,0.04,,0.01,2011,1,,4.3
12498,Opoona,Role-Playing,E10,Wii,KOEI,ArtePiazza,6.4,,0.1,0.08,0.0,0.01,0.01,2008,1,,6.4
12481,Thor: God of Thunder,Action,T,3DS,Sega,WayForward Technologies,6.0,,0.1,0.06,0.03,,0.01,2011,1,,6.0
12605,Ar tonelico: Melody of Elemia,Role-Playing,T,PS2,Nippon Ichi Software,Gust,7.0,,0.1,,,0.1,,2007,1,,7.0
12554,Dead or Alive 5 Last Round,Fighting,M,XOne,Tecmo Koei,Team Ninja,7.5,,0.1,0.05,0.03,0.01,0.01,2015,1,,7.5
12519,The BIGS 2,Sports,E10,PSP,2K Sports,Blue Castle Games,6.8,,0.1,0.09,,,0.01,2009,1,,6.8
12475,Over the Hedge,Platform,E10,XB,Activision,Edge of Reality,6.6,,0.1,0.07,0.02,,0.0,2006,1,,6.6
12458,Marvel vs. Capcom: Clash of Super Heroes,Fighting,T,DC,Capcom,Capcom,8.5,,0.1,,,0.1,,1999,1,,8.5
12449,Disney's The Jungle Book,Platform,E,GBA,Ubisoft,Visual Impact,5.0,,0.1,0.07,0.03,,0.0,2003,1,,5.0
12447,Spider-Man: Web of Shadows,Action,E10,DS,Activision,Griptonite Games,7.9,,0.1,0.09,0.0,,0.01,2008,1,,7.9
12438,Lode Runner 3-D,Action,E,N64,Infogrames,Big Bang,7.0,,0.1,0.08,0.02,,0.0,1999,1,,7.0
12547,Harvest Moon: Frantic Farming,Puzzle,E,DS,Natsume,Natsume,7.0,,0.1,0.08,0.01,,0.01,2009,1,,7.0
12480,NHL 2K6,Sports,E10,X360,2K Sports,Kush Games,7.3,,0.1,0.09,0.0,,0.01,2005,1,,7.3
12237,Stardew Valley,Simulation,E10,PS4,505 Games,ConcernedApe,8.8,,0.1,0.04,0.04,,0.02,2017,1,,8.8
12429,Aidyn Chronicles: The First Mage,Role-Playing,T,N64,THQ,H2O Interactive,6.0,,0.1,0.08,0.02,,0.0,2001,1,,6.0
12203,Banjo-Pilot,Racing,E,GBA,THQ,Rare Ltd.,6.2,,0.1,0.07,0.03,,0.0,2005,1,,6.2
12342,X-Men: The Official Game,Action,T,XB,Activision,"Z-Axis, Ltd.",4.8,,0.1,0.08,0.02,,0.0,2006,1,,4.8
12367,Guitar Hero: Van Halen,Misc,T,PS2,Activision,Neversoft Entertainment,4.9,,0.1,0.05,0.04,,0.01,2009,1,,4.9
12365,X-Men: Destiny,Action,T,Wii,Activision,Silicon Knights,3.3,,0.1,0.07,0.02,,0.01,2011,1,,3.3
12350,Record of Agarest War Zero,Strategy,T,X360,Aksys Games,Compile Heart,6.5,,0.1,0.09,,,0.01,2011,1,,6.5
12332,Surf's Up,Sports,E10,X360,Ubisoft,Ubisoft Montreal,6.2,,0.1,0.09,0.0,,0.01,2007,1,,6.2
12329,Baten Kaitos Origins,Role-Playing,T,GC,Nintendo,tri-Crescendo / Monolith Soft,7.5,,0.1,0.06,0.02,0.02,0.0,2006,1,,7.5
12314,The Elder Scrolls Online: Summerset,MMO,M,PS4,Bethesda Softworks,ZeniMax Online Studios,7.5,,0.1,0.08,,,0.02,2018,1,,7.5
12280,Miami Law,Adventure,T,DS,Hudson Entertainment,Gaijinworks,5.5,,0.1,0.09,0.0,,0.01,2009,1,6.8,6.15
12249,Phantom Brave: The Hermuda Triangle,Role-Playing,T,PSP,NIS America,Nippon Ichi Software,7.2,,0.1,0.06,,0.03,0.01,2011,1,,7.2
12300,Dungeons & Dragons Tactics,Strategy,T,PSP,Atari,Kuju Entertainment,5.2,,0.1,0.09,0.0,,0.01,2007,1,,5.2
12293,Blitz: The League II,Sports,M,X360,Midway Games,Midway Games,6.6,,0.1,0.08,0.01,,0.01,2008,1,,6.6
12292,The King of Fighters: Dream Match 1999,Fighting,T,DC,SNK,SNK Corporation,7.2,,0.1,,,0.1,0.0,1999,1,,7.2
12286,America's Next Top Model,Simulation,E10,DS,Conspiracy Entertainment,Independent Arts Software,,,0.1,0.1,0.0,,0.01,2010,1,3.5,3.5
12274,Astro Boy: The Video Game,Action,E,DS,D3 Publisher,Art Corporation,4.4,,0.1,0.09,0.0,,0.01,2009,1,,4.4
12273,Vandal Hearts II,Strategy,M,PS,Konami,Konami,7.2,,0.1,0.06,0.04,,0.01,1999,1,,7.2
12279,The Book of Unwritten Tales,Adventure,T,PC,DreamCatcher Interactive,KING Art Games,7.9,,0.1,0.0,0.08,,0.02,2011,1,,7.9
12306,Agatha Christie: The ABC Murders,Adventure,T,DS,DreamCatcher Interactive,DreamCatcher Interactive,6.0,,0.1,0.08,0.01,,0.01,2009,1,,6.0
12379,Beach Spikers: Virtua Beach Volleyball,Sports,E,GC,Sega,Sega-AM2,7.1,,0.1,0.08,0.02,,0.0,2002,1,,7.1
12308,Blue Stinger,Adventure,M,DC,Activision,Climax Entertainment,6.7,,0.1,,,0.1,,1999,1,,6.7
12219,JU-ON: The Grudge,Adventure,M,Wii,Xseed Games,FeelPlus,4.0,,0.1,0.07,0.01,0.01,0.01,2009,1,,4.0
12232,Gretzky NHL,Sports,E,PSP,Sony Computer Entertainment,989 Sports,6.0,,0.1,0.1,,,0.01,2005,1,,6.0
12258,Yu-Gi-Oh! 5D's Wheelie Breakers,Racing,E,Wii,Konami,Konami,7.5,,0.1,0.09,0.01,,0.01,2009,1,6.7,7.1
12229,Tokyo Xanadu eX+,Role-Playing,,PS4,Aksys Games,Nihon Falcom Corporation,,,0.1,0.05,,0.05,0.01,2017,1,7.0,7.0
12221,Ridge Racer 2,Racing,,PSP,Unknown,Namco Bandai Games,7.5,,0.1,,0.03,0.07,0.01,2020,1,,7.5
12247,Disgaea Infinite,Adventure,T,PSP,NIS America,Nippon Ichi Software,6.8,,0.1,0.08,,0.01,0.02,2010,1,,6.8
12187,Disney's Chicken Little: Ace In Action,Shooter,E10,Wii,Buena Vista,Avalanche Software,7.6,,0.1,0.09,0.0,,0.01,2006,1,,7.6
12204,Cloudy With a Chance of Meatballs,Adventure,E,PS3,Ubisoft,Ubisoft Shanghai,6.7,,0.1,0.09,0.01,,0.01,2009,1,,6.7
12196,The Lord of the Rings: Conquest,Action,T,DS,Electronic Arts,Artificial Mind and Movement,5.9,,0.1,0.09,0.01,,0.01,2009,1,,5.9
12257,Riviera: The Promised Land,Role-Playing,T,GBA,Atlus,Sting,8.7,,0.1,0.07,0.03,,0.0,2005,1,,8.7
12210,Tom Clancy's Splinter Cell: Conviction,Action,M,PC,Ubisoft,Ubisoft Montreal,8.0,,0.1,,0.08,,0.02,2010,1,,8.0
12192,World Series of Poker: Tournament of Champions 2007 Edition,Misc,T,PSP,Activision,Left Field Productions,6.4,,0.1,0.1,0.0,,0.01,2006,1,,6.4
12159,The Godfather: Mob Wars,Action,M,PSP,Electronic Arts,Page 44,6.2,,0.1,0.09,0.0,,0.01,2006,1,,6.2
12184,The First Templar,Adventure,T,X360,Kalypso,Haemimont Games,7.0,,0.1,0.06,0.04,,0.01,2011,1,,7.0
12277,Marvel Super Hero Squad: The Infinity Gauntlet,Action,E10,3DS,THQ,THQ,4.8,,0.1,0.07,0.03,,0.01,2011,1,,4.8
12161,Puzzle Chronicles,Puzzle,E10,PSP,Konami,Infinite Interactive,6.5,,0.1,0.08,0.0,,0.02,2010,1,,6.5
12185,Vexx,Platform,T,XB,Acclaim Entertainment,Acclaim Studios Austin,6.8,,0.1,0.08,0.02,,0.0,2003,1,,6.8
12213,Tom Clancy's Splinter Cell: Chaos Theory,Action,M,GC,Ubisoft,Ubisoft Montreal,7.8,,0.1,0.08,0.02,,0.0,2005,1,,7.8
12104,Rome: Total War,Strategy,T,PC,Activision,The Creative Assembly,9.0,,0.11,,0.09,,0.01,2004,1,,9.0
12156,Brunswick Circuit Pro Bowling 2,Sports,E,PS,THQ,Adrenalin Entertainment,7.0,,0.11,0.06,0.04,,0.01,2000,1,,7.0
11918,RiME,Adventure,E10,PS4,Grey Box,Tequila Works,7.1,,0.11,0.02,0.07,,0.02,2017,1,,7.1
12129,Pro Evolution Soccer 2014,Sports,E,PC,Konami Digital Entertainment,Konami,8.3,,0.11,,0.1,,0.01,2013,1,,8.3
12019,Astro Boy: The Video Game,Action,E10,Wii,D3 Publisher,High Voltage Software,5.3,,0.11,0.1,0.0,,0.01,2009,1,,5.3
12134,Dark Souls: Remastered,Role-Playing,M,XOne,Bandai Namco Entertainment,From Software,8.0,,0.11,0.07,0.03,,0.01,2018,1,,8.0
12132,Trauma Center: Under the Knife 2,Simulation,T,DS,Atlus,Atlus Co.,8.2,,0.11,0.1,,,0.01,2008,1,,8.2
12111,"Grand Theft Auto: Mission Pack #1, London 1969",Adventure,M,PS,Rockstar Games,DMA Design,6.7,,0.11,0.06,0.04,,0.01,1999,1,,6.7
12110,Carnage Heart,Strategy,E,PS,Sony Computer Entertainment,ArtDink,7.1,,0.11,0.01,0.01,0.09,0.01,1997,1,,7.1
12091,FIFA World Cup Germany 2006,Sports,E,PSP,EA Sports,EA Canada,6.5,,0.11,0.1,,,0.01,2006,1,,6.5
11993,The Polar Express,Adventure,E,GC,THQ,Blue Tongue,3.3,,0.11,0.08,0.02,,0.0,2004,1,,3.3
12064,Dynasty Warriors Advance,Action,E10,GBA,Nintendo,Koei,5.2,,0.11,0.08,0.03,,0.0,2005,1,,5.2
12095,Rogue Warrior,Shooter,M,X360,Bethesda Softworks,Rebellion Developments,3.0,,0.11,0.09,0.01,,0.01,2009,1,,3.0
12059,Rengoku: The Tower of Purgatory,Action,M,PSP,Konami,Neverland,4.7,,0.11,0.1,0.0,,0.01,2005,1,,4.7
12055,The BIGS,Sports,E,PSP,2K Sports,Blue Castle Games,7.6,,0.11,0.1,,,0.01,2007,1,,7.6
12046,Railroad Tycoon II,Strategy,E,PS,Take-Two Interactive,Take-Two Interactive,6.6,,0.11,0.06,0.04,,0.01,2000,1,,6.6
12041,A.R.E.S. Extinction Agenda,Platform,,PC,Extend Studio,ORiGO Games,6.8,,0.11,,,,,2010,1,,6.8
11938,Death Jr.: Root of Evil,Platform,T,Wii,Eidos Interactive,Backbone Entertainment,7.3,,0.11,0.1,0.0,,0.01,2008,1,7.5,7.4
12001,Sonic Generations,Platform,E,PC,Sega,Sega,8.3,,0.11,0.02,0.07,,0.02,2011,1,,8.3
12029,Arcade Party Pak,Misc,T,PS,Midway Games,Digital Eclipse,7.6,,0.11,0.06,0.04,,0.01,1999,1,,7.6
12088,Metal Gear Solid Integral,Adventure,,PS,Konami,Konami,9.0,,0.11,,,0.1,0.01,1999,1,,9.0
12101,Sakura Wars,Adventure,,DC,Sega,Overworks,7.6,,0.11,,,0.11,,2000,1,,7.6
12003,Frogger: Helmet Chaos,Platform,E,PSP,Konami,Konami Computer Entertainment Hawaii,7.0,,0.11,0.1,0.0,,0.01,2005,1,,7.0
11990,Ty the Tasmanian Tiger 2: Bush Rescue,Platform,E,XB,Electronic Arts,Krome Studios,6.9,,0.11,0.08,0.02,,0.0,2004,1,,6.9
12023,Starsky & Hutch,Racing,T,GC,BAM! Entertainment,Minds-Eye Productions,6.0,,0.11,0.08,0.02,,0.0,2004,1,,6.0
11992,BlazBlue: Continuum Shift II,Fighting,T,3DS,Aksys Games,Arc System Works,6.0,,0.11,0.05,0.02,0.04,0.01,2011,1,,6.0
11958,Dawn of Discovery,Simulation,E,DS,Ubisoft,Sunflowers Interactive,7.9,,0.11,0.07,0.03,,0.01,2009,1,,7.9
11997,Ys VIII: Lacrimosa of Dana,Role-Playing,,NS,NIS America,Nihon Falcom Corporation,8.5,6.7,0.11,0.03,0.03,0.03,0.01,2018,1,,7.6
11981,Pokemon Rumble World,Action,E10,3DS,Nintendo,Ambrella,7.0,,0.11,,0.02,0.09,0.0,2015,1,,7.0
11980,Pimp My Ride,Racing,T,X360,Activision,Eutechnyx,3.8,,0.11,0.1,0.01,,0.01,2006,1,,3.8
11979,Prinny: Can I Really Be the Hero?,Platform,T,PSP,NIS America,Nippon Ichi Software,7.2,,0.11,0.04,0.01,0.05,0.01,2009,1,8.4,7.800000000000001
12002,Burnout Paradise Remastered,Racing,E10,XOne,Electronic Arts,Stellar Entertainment,8.0,,0.11,0.06,0.04,,0.01,2018,1,,8.0
11960,Panzer Dragoon Saga,Role-Playing,T,SAT,Sega,Team Andromeda,9.1,,0.11,,,0.11,,1998,1,,9.1
11986,Patapon 2,Platform,E,PSP,Sony Computer Entertainment,Pyramid/JAPAN Studio,8.2,,0.11,,0.03,0.06,0.01,2009,1,,8.2
11959,NBA 2K18,Sports,E10,X360,2K Sports,Visual Concepts,7.0,,0.11,0.09,0.0,,0.01,2017,1,,7.0
11956,Avatar: The Last Airbender,Adventure,E10,PSP,THQ,AWE Games,6.0,,0.11,0.1,0.0,,0.01,2006,1,,6.0
11966,The Scorpion King: Rise of the Akkadian,Action,T,GC,Universal Interactive,Point of View,5.2,,0.11,0.08,0.02,,0.0,2002,1,,5.2
11942,"Prinny 2: Dawn of Operation Panties, Dood!",Platform,T,PSP,NIS America,Nippon Ichi Software,6.3,,0.11,0.06,,0.03,0.01,2011,1,,6.3
12031,Planet 51,Action,E,X360,Sega,Pyro Studios,5.7,,0.11,0.07,0.03,,0.01,2009,1,,5.7
11906,Fighting Force 64,Action,T,N64,Crave Entertainment,Core Design Ltd.,5.2,,0.11,0.09,0.02,,0.0,1999,1,,5.2
11929,Bodycount,Shooter,M,X360,Codemasters,Guildford Studio,4.8,,0.11,0.07,0.03,,0.01,2011,1,5.5,5.15
11928,Night at the Museum: Battle of the Smithsonian,Action,E10,X360,Majesco,"Pipeworks Software, Inc.",5.4,,0.11,0.07,0.03,,0.01,2009,1,5.3,5.35
11927,Overcooked Special Edition,Simulation,,NS,Team 17,Ghost Town Games,8.4,,0.11,0.08,0.01,,0.01,2018,1,,8.4
11915,Wolfenstein II: The New Colossus,Shooter,M,NS,Bethesda Softworks,MachineGames,8.3,,0.11,0.05,0.05,,0.01,2018,1,,8.3
11932,Breakout,Puzzle,E,PS,Hasbro Interactive,Supersonic Software,4.9,,0.11,0.06,0.04,,0.01,2000,1,,4.9
11913,Spyborgs,Action,T,Wii,Capcom,Bionic Games,6.3,,0.11,0.09,0.01,,0.01,2009,1,,6.3
12099,"Sakura Wars: So Long, My Love",Role-Playing,T,Wii,NIS America,RED Entertainment,7.4,,0.11,0.05,0.04,,0.01,2010,1,7.5,7.45
11903,Batman & Robin,Action,T,PS,Acclaim Entertainment,Probe,5.4,,0.11,0.06,0.04,,0.01,1998,1,,5.4
11850,Army Men: RTS,Strategy,T,PS2,3DO,Pandemic Studios,6.1,,0.11,0.05,0.04,,0.01,2002,1,,6.1
11840,Cloudy With A Chance of Meatballs,Adventure,E,Wii,Ubisoft,Ubisoft Shanghai,6.7,,0.11,0.1,0.0,,0.01,2009,1,,6.7
11792,Deus Ex: Human Revolution,Shooter,M,WiiU,Square Enix,Eidos Interactive,8.6,,0.11,0.05,0.05,,0.01,2013,1,,8.6
11817,Calling,Adventure,T,Wii,Hudson Soft,Hudson Soft,4.8,,0.11,0.06,0.04,0.0,0.01,2010,1,,4.8
11886,Pinball Hall of Fame: The Williams Collection,Misc,E10,PSP,Crave Entertainment,FarSight Studios,8.0,,0.11,0.09,0.01,,0.01,2008,1,,8.0
11885,Odama,Misc,E10,GC,Nintendo,VIVARIUM Inc.,6.5,,0.11,0.07,0.02,0.02,0.0,2006,1,,6.5
11880,BlazBlue: Calamity Trigger Portable,Fighting,T,PSP,Aksys Games,Arc System Works,7.9,8.4,0.11,0.07,0.01,0.03,0.01,2010,1,,8.15
11863,Beaterator,Misc,E,PSP,Rockstar Games,Rockstar Leeds,7.9,,0.11,0.07,0.02,,0.02,2009,1,,7.9
11860,Mortal Kombat: Deception,Fighting,M,GC,Midway Games,Midway Games,7.2,,0.11,0.09,0.02,,0.0,2005,1,,7.2
11853,Shadow of Destiny,Adventure,T,PSP,Konami,Konami,6.8,,0.11,0.09,,0.0,0.02,2010,1,,6.8
11873,Astro Boy: The Video Game,Action,E10,PS2,D3 Publisher,High Voltage Software,5.0,,0.11,0.05,0.04,,0.01,2009,1,,5.0
11846,Master of the Monster Lair,Role-Playing,E10,DS,Atlus,Global A Entertainment,6.9,,0.11,0.1,0.0,,0.01,2008,1,,6.9
11874,Brave Story: New Traveler (US sales),Role-Playing,E10,PSP,Xseed Games,Game Republic,7.5,,0.11,0.11,,,,2007,1,,7.5
11837,Open Season,Platform,E10,X360,Ubisoft,Ubisoft Montreal,5.7,,0.11,0.1,0.0,,0.01,2006,1,,5.7
11832,Jake Hunter Detective Story: Memories of the Past,Adventure,T,DS,Aksys Games,WorkJam,,,0.11,0.06,0.0,0.05,0.0,2009,1,4.5,4.5
11798,BloodRayne,Shooter,M,GC,Majesco,Terminal Reality,7.9,,0.11,0.09,0.02,,0.0,2002,1,,7.9
11831,Disney's Peter Pan: Return to Never Land,Platform,E,GBA,Disney Interactive Studios,Crawfish Interactive,4.0,,0.11,0.08,0.03,,0.0,2002,1,,4.0
11805,Gabrielle's Ghostly Groove 3D,Adventure,E,3DS,Natsume,Natsume,7.5,,0.11,0.08,0.02,,0.01,2011,1,,7.5
11830,Bodycount,Shooter,M,PS3,Codemasters,Guildford Studio,4.9,,0.11,0.05,0.05,,0.02,2011,1,,4.9
11843,Green Lantern: Rise of the Manhunters,Action,E10,DS,Warner Bros. Interactive,Griptonite Games,5.5,,0.11,0.07,0.03,,0.01,2011,1,,5.5
11844,Contra Advance: The Alien Wars EX,Shooter,E,GBA,Konami,Konami,6.7,,0.11,0.08,0.03,,0.0,2002,1,,6.7
11651,GT Advance 2: Rally Racing,Racing,E,GBA,THQ,MTO,7.6,,0.11,0.08,0.03,,0.0,2002,1,,7.6
11682,A Witch's Tale,Role-Playing,E10,DS,NIS America,Hit Maker,5.0,,0.11,0.08,,0.03,0.01,2009,1,,5.0
11898,Bionicle Heroes,Shooter,E10,GC,Eidos Interactive,Traveller's Tales,5.4,,0.11,0.08,0.02,,0.0,2006,1,,5.4
11900,Eragon,Action,T,PSP,Sierra Entertainment,Amaze Entertainment,6.2,,0.11,0.1,0.0,,0.01,2006,1,,6.2
11774,FIFA Soccer 06,Sports,E,PSP,EA Sports,EA Canada,7.6,,0.11,0.1,0.01,,0.01,2005,1,,7.6
11729,Namco Museum Arcade Pac,Misc,T,NS,Bandai Namco Entertainment,Bandai Namco,7.8,,0.11,0.08,0.02,,0.01,2018,1,,7.8
11759,The King of Fighters '99,Fighting,T,PS,Agetec,SNK Corporation,7.0,,0.11,,,0.11,0.01,2001,1,,7.0
11752,Mana Khemia: Student Alliance,Role-Playing,E10,PSP,Nippon Ichi Software,Gust,3.2,,0.11,0.06,0.0,0.03,0.01,2009,1,,3.2
11749,18 Wheeler: American Pro Trucker,Racing,E,GC,Acclaim Entertainment,Acclaim Studios Cheltenham,5.0,,0.11,0.09,0.02,,0.0,2002,1,,5.0
11735,TMNT,Action,E10,PSP,Ubisoft,Ubisoft Montreal,3.6,,0.11,0.1,0.0,,0.01,2007,1,,3.6
11734,Dementium II,Shooter,M,DS,SouthPeak Interactive,Renegade Kid,7.5,,0.11,0.09,0.02,,0.01,2010,1,,7.5
11732,de Blob 2,Platform,E,DS,THQ,Blue Tongue,7.5,,0.11,0.08,0.02,,0.01,2011,1,,7.5
11724,The King of Fighters XII,Fighting,T,X360,Ignition Entertainment,SNK Playmore Corporation,6.4,,0.11,0.09,0.0,0.01,0.01,2009,1,,6.4
11720,Phantom Dust,Action,T,XB,Majesco,Microsoft Game Studios,8.2,,0.11,0.08,0.02,,0.0,2005,1,,8.2
11738,Ring of Red,Strategy,T,PS2,Konami,Konami,8.0,,0.11,0.06,0.04,,0.01,2001,1,,8.0
11684,The Alliance Alive,Role-Playing,E10,3DS,Atlus,Cattle Call,7.3,,0.11,0.04,,0.06,0.01,2018,1,8.0,7.65
11694,Retro Game Challenge,Action,E,DS,Xseed Games,Bandai Namco Games,8.1,,0.11,,,0.11,,2009,1,8.3,8.2
11692,Dead Cells,Action,T,NS,Merge Games,Motion Twin,9.3,,0.11,0.08,0.02,,0.01,2018,1,7.0,8.15
11688,Phantasy Star Collection,Role-Playing,E,GBA,THQ,Digital Eclipse,7.9,,0.11,0.08,0.03,,0.0,2002,1,,7.9
11713,BoomBots,Fighting,T,PS,SouthPeak Interactive,The Neverhood,4.5,,0.11,0.06,0.04,,0.01,1999,1,,4.5
11685,Classic NES Series: Bomberman,Puzzle,E,GBA,Nintendo,Hudson Soft,5.4,,0.11,,,0.11,,2004,1,,5.4
11674,Zubo,Misc,E10,DS,Electronic Arts,EA Bright Light,7.5,,0.11,0.08,0.02,,0.01,2009,1,,7.5
11659,Tom Clancy's EndWar,Strategy,T,PSP,Ubisoft,Funatics Software,6.7,,0.11,0.1,0.01,,0.01,2008,1,,6.7
11698,Tom Clancy's Splinter Cell Trilogy,Action,M,PS3,Ubisoft,Ubisoft,6.5,,0.11,,0.09,,0.02,2011,1,,6.5
11660,Darkspore,Role-Playing,T,PC,Electronic Arts,Maxis,6.6,,0.11,0.07,0.03,,0.01,2011,1,,6.6
11544,Raiden IV,Shooter,E10,X360,UFO Interactive,Moss,7.0,,0.12,0.1,,0.01,0.01,2009,1,,7.0
11545,Dead Island: Riptide,Action,M,PC,Deep Silver,Techland,6.2,,0.12,,,,,2013,1,,6.2
11547,Payday 2,Shooter,M,NS,505 Games,Overkill Software,5.0,,0.12,0.08,0.02,,0.01,2018,1,,5.0
11553,Battles of Prince of Persia,Strategy,E10,DS,Ubisoft,Ubisoft Montreal,5.6,,0.12,0.1,0.01,,0.01,2005,1,,5.6
11575,Prince of Persia: Rival Swords,Action,T,PSP,Ubisoft,"Pipeworks Software, Inc.",,8.1,0.12,0.08,0.02,,0.01,2007,1,,8.1
11585,Lost in Shadow,Platform,E10,Wii,Hudson Soft,Hudson Soft,6.7,,0.12,0.09,0.0,0.01,0.01,2011,1,,6.7
11618,Thousand Arms,Role-Playing,T,PS,Atlus,RED Company,,8.0,0.12,0.06,0.04,,0.01,1999,1,,8.0
11610,Alice: Madness Returns,Adventure,M,PC,Electronic Arts,Spicy Horse,6.7,,0.12,,0.1,,0.01,2011,1,,6.7
11613,MLB 14 The Show,Sports,E,PSV,Sony Computer Entertainment America,SCE San Diego Studio,7.1,,0.12,0.09,,,0.03,2014,1,,7.1
11625,Nintendo Pocket Football Club,Sports,,3DS,Nintendo,ParityBit,7.0,,0.12,,,0.12,,2012,1,,7.0
11524,SimAnimals Africa,Simulation,E,Wii,Electronic Arts,The Sims Studio,5.5,,0.12,0.1,0.01,,0.01,2009,1,,5.5
11645,FIFA Soccer,Sports,E,PSP,Electronic Arts,EA Canada,7.8,,0.12,0.11,,,0.01,2005,1,,7.8
11437,The Great Ace Attorney 2 - The Resolve of Ryuunosuke Naruhodou,Adventure,,3DS,Capcom,Capcom,,,0.12,,,0.12,,2017,1,7.0,7.0
11579,Castlevania: Curse of Darkness,Action,M,XB,Konami,Konami,7.2,,0.12,0.09,0.03,,0.0,2005,1,,7.2
11523,Jeremy McGrath Supercross World,Racing,E,GC,Acclaim Entertainment,Acclaim Entertainment,2.7,,0.12,0.09,0.02,,0.0,2002,1,,2.7
11473,Academy of Champions: Soccer,Sports,E,Wii,Ubisoft,Ubisoft Vancouver,7.1,,0.12,0.09,0.02,,0.01,2009,1,5.2,6.15
11518,NBA 2K2,Sports,E,GC,Sega,Visual Concepts,8.8,,0.12,0.09,0.02,,0.0,2002,1,,8.8
11517,Akuji the Heartless,Platform,T,PS,Eidos Interactive,Crystal Dynamics,6.7,,0.12,0.07,0.04,,0.01,1998,1,,6.7
11444,Fatal Frame: Maiden of Black Water,Misc,M,WiiU,Nintendo,Koei Tecmo Games,,5.8,0.12,,0.03,0.09,0.0,2015,1,,5.8
