,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
2900,Casper,Adventure,E,PS,Interplay,Funcom,4.9,,0.83,0.46,0.31,,0.05,1996,1,,4.9
2893,Dragon Ball: Raging Blast 2,Fighting,T,PS3,Namco Bandai,Spike,6.0,,0.83,0.43,0.19,0.11,0.1,2010,1,,6.0
2888,Yu-Gi-Oh! Dark Duel Stories,Misc,E,GB,Konami,KCEJ,6.2,,0.83,,,0.83,,2002,1,,6.2
2885,Rayman Origins,Platform,E10,Wii,Ubisoft,Ubisoft,9.5,,0.83,,,,,2011,1,,9.5
2886,Sniper: Ghost Warrior,Shooter,M,PS3,City Interactive,City Interactive,4.5,,0.83,0.3,0.35,0.04,0.14,2011,1,,4.5
2898,Sid Meier's Civilization Revolution,Strategy,E10,X360,2K Games,Firaxis Games,8.4,,0.83,0.58,0.17,0.0,0.07,2008,1,,8.4
2875,Duke Nukem Forever,Shooter,M,X360,2K Games,Gearbox Software,4.3,,0.83,0.52,0.25,,0.07,2011,1,,4.3
2880,Dragon Age II,Role-Playing,M,PS3,Electronic Arts,BioWare Corp.,7.7,,0.83,0.4,0.26,0.05,0.12,2011,1,,7.7
2870,Call of Duty: Modern Warfare 3,Shooter,M,Wii,Activision,Infinity Ward,4.5,,0.83,0.55,0.2,,0.08,2011,1,,4.5
2876,Madden NFL 07,Sports,E,PSP,EA Sports,EA Tiburon,8.3,,0.83,0.77,0.03,,0.04,2006,1,,8.3
2874,Need for Speed: Nitro,Racing,E10,Wii,Electronic Arts,EA Montreal,7.0,,0.83,0.45,0.3,,0.08,2009,1,7.3,7.15
2879,Tiger Woods PGA Tour 11,Sports,E,PS3,EA Sports,EA Tiburon,7.9,,0.83,0.37,0.34,,0.13,2010,1,,7.9
2871,Ace Combat 3: Electrosphere,Simulation,E,PS,Namco,Namco,7.6,,0.83,0.22,0.15,0.4,0.05,2000,1,,7.6
2869,DJ Hero 2,Misc,T,X360,Activision,FreeStyle Games,8.5,,0.83,0.65,0.12,,0.06,2010,1,,8.5
