,Unnamed: 0,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
119,119,5034,Vandal Hearts,Role-Playing,M,PS,Konami,Konami Computer Entertainment Tokyo,7.7,,0.45,0.14,0.09,0.19,0.03,1997,1,,7.7
120,120,9265,Dead or Alive,Fighting,,SAT,Tecmo,Team Ninja,7.9,,0.18,,,0.18,0.0,1997,1,,7.9
122,122,4324,Clock Tower,Adventure,M,PS,ASCII Entertainment,Human Entertainment,6.1,,0.53,0.07,0.05,0.38,0.03,1997,1,,6.1
123,123,8769,Ogre Battle Saga Episode Five: The March of the Black Queen,Role-Playing,E,PS,Atlus,Quest Corporation,7.6,,0.2,0.06,0.04,0.09,0.01,1997,1,,7.6
126,126,4765,Alien Trilogy,Shooter,M,PS,Acclaim Entertainment,Probe Entertainment Limited,8.0,,0.47,0.24,0.16,0.04,0.03,1997,1,,8.0
129,129,11071,The House of the Dead,Shooter,M,SAT,Sega,Tantalus Interactive,7.5,,0.13,,,0.13,0.0,1998,1,,7.5
133,133,3952,Diablo,Role-Playing,M,PS,Electronic Arts,Climax Group,8.3,,0.58,0.29,0.19,0.07,0.04,1998,1,,8.3
136,136,8350,Kartia: The Word of Fate,Strategy,E,PS,Atlus,Atlus Co.,7.9,,0.22,0.05,0.03,0.12,0.01,1998,1,,7.9
138,138,7197,Resident Evil 2: Dual Shock Edition,Action,M,PS,Capcom,Capcom,9.0,,0.27,,,0.26,0.02,1998,1,,9.0
140,140,1111,Turok 2: Seeds of Evil,Shooter,M,N64,Acclaim Entertainment,Iguana Entertainment,9.0,,1.86,1.37,0.41,0.04,0.04,1998,1,,9.0
142,142,7086,Dead or Alive,Fighting,T,PS,Tecmo,Team Ninja,8.3,,0.28,0.09,0.06,0.1,0.02,1998,1,,8.3
144,144,7168,Armored Core: Project Phantasma,Simulation,T,PS,ASCII Entertainment,From Software,7.2,,0.28,0.06,0.04,0.15,0.02,1998,1,,7.2
146,146,4282,Bust A Groove,Misc,E,PS,989 Studios,Metro,7.7,,0.54,0.09,0.06,0.35,0.04,1998,1,,7.7
148,148,3451,Bushido Blade 2,Fighting,T,PS,Square EA,Light Weight,7.5,,0.68,0.25,0.17,0.22,0.04,1998,1,,7.5
158,158,2386,Breath of Fire III,Role-Playing,T,PS,Capcom,Capcom,7.6,,1.0,0.29,0.19,0.46,0.07,1998,1,,7.6
159,159,2301,Tales of Destiny,Role-Playing,T,PS,Namco,Wolfteam,6.2,,1.04,0.09,0.06,0.83,0.07,1998,1,,6.2
163,163,6241,Bomberman World,Puzzle,E,PS,Atlus,Hudson Soft,6.5,,0.33,0.06,0.04,0.22,0.02,1998,1,,6.5
164,164,2057,Brave Fencer Musashi,Role-Playing,E,PS,Square,SquareSoft,8.4,,1.14,0.25,0.17,0.65,0.07,1998,1,,8.4
167,167,3984,International Superstar Soccer '98,Sports,E,N64,Konami,Konami Computer Entertainment Osaka,9.1,,0.58,0.06,0.3,0.19,0.03,1998,1,,9.1
169,169,1997,Mission: Impossible,Action,T,N64,Ocean,Infogrames,6.6,,1.17,0.74,0.38,0.02,0.03,1998,1,,6.6
175,175,11960,Panzer Dragoon Saga,Role-Playing,T,SAT,Sega,Team Andromeda,9.1,,0.11,,,0.11,,1998,1,,9.1
179,179,1022,Tenchu: Stealth Assassins,Action,M,PS,Activision,Acquire,8.8,,1.99,0.95,0.64,0.27,0.13,1998,1,,8.8
180,180,439,Tomb Raider III: Adventures of Lara Croft,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,8.2,,3.54,1.66,1.58,0.12,0.18,1998,1,,8.2
187,187,824,Grand Theft Auto,Action,M,PS,Take-Two Interactive,DMA Design,6.0,,2.32,0.79,1.35,0.04,0.14,1998,1,,6.0
188,188,353,Half-Life,Shooter,M,PC,Sierra Entertainment,Valve Software,9.5,,4.12,4.03,0.0,0.09,,1998,1,,9.5
190,190,253,Spyro the Dragon,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,8.7,,5.0,3.36,1.36,0.07,0.21,1998,1,,8.7
192,192,141,Crash Bandicoot 3: Warped,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,9.3,,7.13,3.68,1.75,1.42,0.28,1998,1,,9.3
196,196,12088,Metal Gear Solid Integral,Adventure,,PS,Konami,Konami,9.0,,0.11,,,0.1,0.01,1999,1,,9.0
200,200,2176,Star Ocean: The Second Story,Role-Playing,E,PS,Sony Computer Entertainment,tri-Ace,8.2,,1.1,0.26,0.1,0.72,0.02,1999,1,,8.2
201,201,171,Driver,Action,T,PS,GT Interactive,Reflections Interactive,8.5,,6.27,3.11,2.8,0.02,0.33,1999,1,,8.5
203,203,7687,Hybrid Heaven,Role-Playing,T,N64,Konami,KCEO,7.0,,0.25,0.16,0.04,0.05,0.0,1999,1,,7.0
