,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
3578,671,Mario Party: Island Tour,Party,E,3DS,Nintendo,"Nd Cube Co., Ltd.",5.5,,2.68,,,,,2013,1,,5.5
3579,8495,Tom Clancy's Splinter Cell: Blacklist,Action-Adventure,M,PC,Ubisoft,Ubisoft Toronto,8.9,,0.21,0.06,0.14,,0.02,2013,1,,8.9
3580,11545,Dead Island: Riptide,Action,M,PC,Deep Silver,Techland,6.2,,0.12,,,,,2013,1,,6.2
3581,2078,NCAA Football 14,Sports,E,X360,EA Sports,EA Tiburon,7.6,,1.13,1.01,,,0.12,2013,1,,7.6
3582,12564,Dead or Alive 5 Plus,Fighting,M,PSV,Tecmo Koei,Team Ninja,8.0,,0.1,,0.06,0.03,0.02,2013,1,,8.0
3583,5872,Sonic Lost World,Platform,E10,WiiU,Sega,Sonic Team,6.0,,0.37,0.2,0.13,0.01,0.03,2013,1,,6.0
3584,2109,WWE 2K14,Fighting,T,X360,2K Sports,Yuke's,7.6,,1.12,0.64,0.38,,0.1,2013,1,,7.6
3585,2868,Madden NFL 25,Sports,E,XOne,EA Sports,EA Tiburon,7.1,,0.83,0.69,0.06,,0.09,2013,1,,7.1
3586,2088,Total War: Rome II,Strategy,T,PC,Sega,The Creative Assembly,8.0,,1.13,,,,,2013,1,,8.0
3587,695,Dead Rising 3,Action,M,XOne,Microsoft Studios,Capcom,,,2.6,,,,,2013,1,7.9,7.9
3588,191,Luigi's Mansion: Dark Moon,Adventure,E,3DS,Nintendo,Next Level Games,8.6,,5.75,,,,,2013,1,,8.6
3589,8537,Move Fitness,Sports,,PS3,Sony Computer Entertainment,Sony Computer Entertainment,5.0,,0.21,,0.17,,0.04,2013,1,,5.0
3590,208,Tomb Raider (2013),Action,M,PC,Square Enix,Crystal Dynamics,8.8,,5.5,,,,,2013,1,,8.8
3591,170,The Last of Us,Action-Adventure,M,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,,6.27,2.41,2.57,0.29,0.99,2013,1,,9.5
3592,4739,Sonic Lost World,Platform,E10,3DS,Sega,Dimps Corporation,5.2,,0.48,0.22,0.15,0.07,0.04,2013,1,,5.2
