,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
0,1,Super Mario Bros.,Platform,,NES,Nintendo,Nintendo EAD,10.0,,40.24,,,,,1985,1,,10.0
1,344,Teenage Mutant Ninja Turtles,Platform,,NES,Ultra Games,Konami,5.9,,4.17,3.38,0.44,0.31,0.04,1989,1,,5.9
2,2160,The Final Fantasy Legend,Role-Playing,,GB,Square,Square,6.0,,1.1,,,,,1990,1,,6.0
3,1940,Final Fantasy,Role-Playing,,NES,Nintendo,Square,8.5,,1.2,,,,,1990,1,,8.5
4,1509,Final Fight,Action,,SNES,Capcom,Capcom,10.0,,1.48,,,,,1991,1,,10.0
5,18,Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD,8.5,,20.61,,,,,1991,1,,8.5
6,1221,Metroid II: Return of Samus,Adventure,E,GB,Nintendo,Intelligent Systems,7.3,,1.72,,,,,1991,1,,7.3
7,1246,Final Fantasy II,Role-Playing,,SNES,Square,Square,10.0,,1.7,,,,,1991,1,,10.0
8,5727,Final Fantasy Adventure,Adventure,,GB,Square,Square,9.0,,0.38,,,0.38,,1991,1,,9.0
9,389,Dragon Quest III,Role-Playing,,NES,Enix,ChunSoft,,8.0,3.9,,,,,1992,1,,8.0
10,781,Final Fantasy V,Role-Playing,,SNES,Square,SquareSoft,7.5,,2.4,,,,,1992,1,,7.5
11,106,Super Mario Kart,Racing,E,SNES,Nintendo,Nintendo EAD,10.0,,8.76,,,,,1992,1,,10.0
12,72,Super Mario Land 2: 6 Golden Coins,Platform,E,GB,Nintendo,Nintendo R&D1,9.0,,11.18,,,,,1992,1,,9.0
13,289,The Legend of Zelda: A Link to the Past,Adventure,,SNES,Nintendo,Nintendo EAD,10.0,,4.61,,,,,1992,1,,10.0
14,921,SimCity 2000,Simulation,E,PC,Maxis,Maxis,8.0,,2.14,1.2,0.84,,0.1,1993,1,,8.0
15,80,Super Mario All-Stars,Platform,E,SNES,Nintendo,Nintendo EAD,,9.5,10.55,,,,,1993,1,,9.5
16,1154,Secret of Mana,Role-Playing,,SNES,Square,SquareSoft,9.1,,1.8,,,,,1993,1,,9.1
17,3144,Final Fantasy Legend III,Role-Playing,,GB,Square,SquareSoft,7.0,,0.76,,,0.76,,1993,1,,7.0
18,359,Street Fighter II Turbo,Fighting,,SNES,Capcom,Capcom,9.0,,4.1,,,,,1993,1,,9.0
19,595,Final Fantasy III,Role-Playing,,SNES,Square,SquareSoft,9.1,,2.9,,,,,1994,1,,9.1
20,235,Super Mario Land 3: Wario Land,Platform,E,GB,Nintendo,Nintendo R&D1,7.9,,5.19,,,,,1994,1,,7.9
21,99,Donkey Kong Country,Platform,E,SNES,Nintendo,Rare Ltd.,9.0,,9.3,,,,,1994,1,,9.0
22,9133,Shining Force II,Strategy,,GEN,Sega,Camelot Software Planning,9.0,,0.19,,,0.19,,1994,1,,9.0
23,426,Doom II,Shooter,M,PC,GT Interactive,id Software,9.3,,3.61,2.05,1.4,,0.16,1994,1,,9.3
24,1591,Super Metroid,Adventure,E,SNES,Nintendo,Intelligent Systems,8.0,,1.42,,,,,1994,1,,8.0
25,354,Super Mario World 2: Yoshi's Island,Platform,E,SNES,Nintendo,Nintendo EAD,9.0,,4.12,,,,,1995,1,,9.0
26,236,Donkey Kong Country 2: Diddy's Kong Quest,Platform,E,SNES,Nintendo,Rare Ltd.,9.3,,5.15,,,,,1995,1,,9.3
27,178,Myst,Adventure,E,PC,Broderbund,Cyan Worlds,8.9,,6.0,,,,,1995,1,,8.9
28,2228,Virtua Fighter,Fighting,T,SAT,Sega,Sega-AM2,9.0,,1.07,0.17,0.12,0.77,0.02,1995,1,,9.0
29,3000,Ridge Racer,Racing,E,PS,Namco,Namco,9.0,,0.79,,,0.74,0.05,1995,1,,9.0
30,9873,King's Field,Role-Playing,T,PS,ASCII Entertainment,From Software,7.1,,0.16,0.09,0.06,,0.01,1995,1,,7.1
31,1131,Air Combat,Simulation,E,PS,Namco,Namco,7.0,,1.83,0.92,0.33,0.52,0.05,1995,1,,7.0
32,833,Chrono Trigger,Role-Playing,E,SNES,Square,SquareSoft,8.8,,2.3,,,,,1995,1,,8.8
33,1399,Twisted Metal,Action,T,PS,Sony Computer Entertainment,SingleTrac,7.0,,1.56,1.32,0.19,,0.05,1995,1,,7.0
34,4780,WipEout,Racing,E,PS,Psygnosis,Psygnosis,8.0,,0.47,0.26,0.18,,0.03,1995,1,,8.0
35,506,Tekken,Fighting,T,PS,Namco,Namco,8.3,,3.24,0.95,1.3,0.77,0.22,1995,1,,8.3
36,5966,Breath of Fire II,Role-Playing,E,SNES,Capcom,Capcom,8.3,,0.36,,,0.36,,1995,1,,8.3
37,553,Rayman,Platform,E,PS,Ubisoft,Ubisoft Montpellier,7.0,,3.03,1.54,1.33,,0.16,1995,1,,7.0
38,567,Warcraft II: Tides of Darkness,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,9.3,,3.0,,,,,1996,1,,9.3
39,2338,Tomb Raider,Action,T,PC,Eidos Interactive,Core Design Ltd.,8.7,,1.03,0.96,0.07,,,1996,1,,8.7
40,4042,Beyond The Beyond,Role-Playing,E,PS,Sony Computer Entertainment,Camelot Software Planning,4.8,,0.57,0.11,0.08,0.35,0.04,1996,1,,4.8
41,10737,Bottom of the 9th,Sports,E,PS,Konami,Konami,8.0,,0.14,0.08,0.05,,0.01,1996,1,,8.0
42,3475,Contra: Legacy of War,Shooter,T,PS,Konami,Appaloosa Interactive,6.5,,0.67,0.37,0.25,,0.04,1996,1,,6.5
43,4381,Wayne Gretzky's 3D Hockey,Sports,E,N64,Midway Games,William's Entertainment,8.1,,0.53,0.49,0.03,,0.0,1996,1,,8.1
44,5497,Fighting Vipers,Fighting,T,SAT,Sega,Sega-AM2,8.0,,0.4,,,0.4,0.0,1996,1,,8.0
45,614,Command & Conquer: Red Alert,Strategy,T,PC,Virgin Interactive,Westwood Studios,9.3,,2.85,1.37,1.34,,0.14,1996,1,,9.3
46,5002,Persona,Role-Playing,E,PS,Atlus,Atlus Co.,8.1,,0.45,,,0.42,0.03,1996,1,,8.1
47,2821,Street Fighter Alpha 2,Fighting,T,PS,Capcom,Capcom,8.2,,0.85,0.14,0.09,0.57,0.06,1996,1,,8.2
48,2900,Casper,Adventure,E,PS,Interplay,Funcom,4.9,,0.83,0.46,0.31,,0.05,1996,1,,4.9
49,10459,Blazing Dragons,Adventure,E,PS,Mindscape,Illusions Game Company,6.6,,0.15,0.08,0.06,,0.01,1996,1,,6.6
50,287,Tomb Raider,Action,T,PS,Eidos Interactive,Core Design Ltd.,8.9,,4.63,2.29,1.97,0.13,0.24,1996,1,,8.9
51,5092,Blood Omen: Legacy of Kain,Role-Playing,M,PS,Crystal Dynamics,Silicon Knights,7.8,,0.44,0.25,0.17,,0.03,1996,1,,7.8
52,5173,NiGHTS into dreams...,Platform,E,SAT,Sega,Sonic Team,9.1,,0.43,,,0.43,0.0,1996,1,,9.1
53,3070,Andretti Racing,Racing,E,PS,EA Sports,Stormfront Studios,7.3,,0.77,0.43,0.29,,0.05,1996,1,,7.3
54,586,Wave Race 64,Racing,E,N64,Nintendo,Nintendo EAD,9.2,,2.94,,,,,1996,1,,9.2
55,2635,Tobal No.1,Fighting,T,PS,Sony Computer Entertainment,DreamFactory,7.7,,0.92,0.12,0.08,0.66,0.06,1996,1,,7.7
56,730,Diablo,Role-Playing,M,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,,2.5,,,,,1996,1,,8.7
57,7642,WipEout XL,Racing,E,PS,Sony Computer Entertainment,Psygnosis,8.8,,0.25,0.14,0.1,,0.02,1996,1,,8.8
58,9035,Allied General,Strategy,E,PS,SSI,SSI,6.3,,0.19,0.11,0.07,,0.01,1996,1,,6.3
59,9184,Bubsy 3D,Platform,E,PS,Accolade,Eidetic,5.8,,0.19,0.1,0.07,,0.01,1996,1,,5.8
60,67,Super Mario 64,Platform,E,N64,Nintendo,Nintendo EAD,9.7,,11.91,,,,,1996,1,,9.7
61,8872,Bust-A-Move 2 Arcade Edition,Puzzle,E,PS,Acclaim Entertainment,Taito Corporation,6.9,,0.2,0.11,0.07,,0.01,1996,1,,6.9
62,1421,Die Hard Trilogy,Shooter,M,PS,Fox Interactive,Probe Entertainment Limited,8.5,,1.54,0.85,0.58,,0.1,1996,1,,8.5
63,8078,Virtua Fighter Kids,Fighting,T,SAT,Sega,Sega-AM2,6.6,,0.23,,,0.23,,1996,1,,6.6
64,11482,Burning Road,Racing,E,PS,Playmates,Toka,6.0,,0.12,0.07,0.05,,0.01,1996,1,,6.0
65,1615,2Xtreme,Sports,E,PS,Sony Computer Entertainment,SCEA,8.3,,1.4,1.15,0.2,,0.05,1996,1,,8.3
66,9778,Street Fighter Alpha 2,Fighting,T,SNES,Capcom,Capcom,8.0,,0.17,,,0.17,,1996,1,,8.0
67,149,Crash Bandicoot,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,7.8,,6.82,,,,,1996,1,,7.8
68,650,Resident Evil,Action,M,PS,Capcom,Capcom,8.6,,2.75,,,,,1996,1,,8.6
69,7412,NCAA Gamebreaker,Sports,,PS,Sony Computer Entertainment,SCEA,6.3,,0.26,0.15,0.1,,0.02,1996,1,,6.3
70,7410,King's Field II,Role-Playing,T,PS,ASCII Entertainment,From Software,7.3,,0.26,0.08,0.06,0.11,0.02,1996,1,,7.3
71,450,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platform,E,SNES,Nintendo,Rare Ltd.,8.8,,3.51,,,,,1996,1,,8.8
72,6454,Street Fighter Alpha 2,Fighting,T,SAT,Capcom,Capcom,8.1,,0.32,,,0.32,,1996,1,,8.1
73,192,Tekken 2,Fighting,T,PS,Namco,Namco,9.1,,5.74,2.26,1.89,1.36,0.23,1996,1,,9.1
74,240,Microsoft Flight Simulator,Simulation,E,PC,Microsoft,Microsoft,7.0,,5.12,3.22,1.69,,0.2,1996,1,,7.0
75,760,Twisted Metal 2,Racing,T,PS,Sony Computer Entertainment,SingleTrac,8.7,,2.44,2.12,0.25,,0.07,1996,1,,8.7
76,6750,Dragon Force,Strategy,E,SAT,Working Designs,Sega,9.0,,0.3,,,0.3,0.0,1996,1,,9.0
77,3833,Suikoden,Role-Playing,E,PS,Konami,Konami,8.2,8.0,0.6,0.21,0.14,0.21,0.04,1996,1,,8.1
78,2087,Resident Evil Director's Cut,Action,M,PS,Capcom,Capcom,8.3,,1.13,,,,,1997,1,,8.3
79,1273,NFL GameDay 98,Sports,E,PS,Sony Computer Entertainment,989 Studios,8.6,,1.68,1.58,0.06,,0.04,1997,1,,8.6
80,1275,Time Crisis,Shooter,T,PS,Namco,Namco,8.5,,1.68,0.38,0.87,0.33,0.1,1997,1,,8.5
81,2544,Wild ARMs,Role-Playing,E,PS,Sony Computer Entertainment,Media.Vision,8.9,,0.95,0.26,0.17,0.46,0.06,1997,1,,8.9
82,3321,Blast Corps,Action,E,N64,Nintendo,Rare Ltd.,9.1,,0.71,0.39,0.09,0.17,0.06,1997,1,,9.1
83,1372,Soul Blade,Fighting,T,PS,Namco,Namco,8.6,,1.59,0.61,0.41,0.46,0.1,1997,1,,8.6
84,784,Theme Hospital,Strategy,E,PC,Electronic Arts,Bullfrog Productions,5.5,,2.4,2.3,0.1,,,1997,1,,5.5
85,1869,Oddworld: Abe's Oddysee,Platform,T,PS,GT Interactive,Oddworld Inhabitants,8.3,,1.24,0.75,0.44,,0.06,1997,1,,8.3
86,1462,Turok: Dinosaur Hunter,Shooter,,N64,Acclaim Entertainment,Iguana Entertainment,8.9,,1.51,1.14,0.32,0.05,,1997,1,,8.9
87,2009,Bushido Blade,Fighting,T,PS,Sony Computer Entertainment,Light Weight,8.2,,1.16,0.39,0.27,0.43,0.08,1997,1,,8.2
88,2710,Ace Combat 2,Simulation,T,PS,Namco,Namco,8.5,,0.89,0.16,0.11,0.56,0.06,1997,1,,8.5
89,839,Tomb Raider II,Adventure,,PC,Eidos Interactive,Core Design Ltd.,8.2,,2.29,0.91,1.25,,0.13,1997,1,,8.2
90,12110,Carnage Heart,Strategy,E,PS,Sony Computer Entertainment,ArtDink,7.1,,0.11,0.01,0.01,0.09,0.01,1997,1,,7.1
91,1896,Intelligent Qube,Puzzle,E,PS,Sony Computer Entertainment,Sony Computer Entertainment,7.4,,1.22,0.13,0.07,1.0,0.02,1997,1,,7.4
92,1813,Castlevania: Symphony of the Night,Platform,T,PS,Konami,Konami Computer Entertainment Tokyo,9.3,9.0,1.27,0.58,0.4,0.21,0.08,1997,1,,9.15
93,10670,Bravo Air Race,Racing,E,PS,THQ,Xing Entertainment,5.3,,0.14,0.08,0.05,,0.01,1997,1,,5.3
94,2309,Bomberman 64,Puzzle,E,N64,Hudson Soft,Hudson Soft,6.1,,1.04,0.5,0.2,0.31,0.03,1997,1,,6.1
95,1068,PaRappa The Rapper,Misc,E,PS,Sony Computer Entertainment,NanaOn-Sha,9.2,,1.92,0.26,0.16,1.46,0.03,1997,1,,9.2
96,5548,Command & Conquer,Strategy,T,PS,Westwood Studios,Westwood Studios,8.4,,0.4,0.22,0.15,,0.03,1997,1,,8.4
97,227,Tomb Raider II,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,7.6,,5.24,2.3,2.46,0.2,0.28,1997,1,,7.6
98,128,Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,8.6,,7.58,3.78,2.17,1.31,0.31,1997,1,,8.6
99,8156,Alundra,Role-Playing,T,PS,Working Designs,Matrix Software,8.8,,0.23,0.13,0.09,,0.01,1997,1,,8.8
100,119,GoldenEye 007,Shooter,T,N64,Nintendo,Rare Ltd.,9.8,,8.09,,,,,1997,1,,9.8
101,6002,Formula 1 Championship Edition,Racing,E,PS,Sony Computer Entertainment,Bizarre Creations,8.5,,0.36,0.06,0.04,0.23,0.02,1997,1,,8.5
102,269,Diddy Kong Racing,Racing,E,N64,Nintendo,Rare Ltd.,8.3,,4.88,,,,,1997,1,,8.3
103,6529,WarCraft II: The Dark Saga,Strategy,T,PS,Electronic Arts,Blizzard Entertainment,7.3,,0.31,0.18,0.12,,0.02,1997,1,,7.3
104,6704,Cart World Series,Racing,E,PS,Sony Computer Entertainment,SCEA,7.0,,0.3,0.17,0.11,,0.02,1997,1,,7.0
105,5396,Command & Conquer: Red Alert,Strategy,T,PS,Westwood Studios,Westwood Studios,7.8,,0.41,0.23,0.16,,0.03,1997,1,,7.8
106,5407,Armored Core,Simulation,T,PS,Sony Computer Entertainment,From Software,7.2,,0.41,0.13,0.09,0.16,0.03,1997,1,,7.2
107,8563,ClayFighter 63 1/3,Fighting,T,N64,Interplay,Danger Productions,3.1,,0.21,0.17,0.04,,0.0,1997,1,,3.1
108,5260,Colony Wars,Simulation,E,PS,Psygnosis,Psygnosis,8.8,,0.42,0.24,0.16,,0.03,1997,1,,8.8
109,9794,Resident Evil,Action,M,SAT,Capcom,Nextech,7.3,,0.17,,,0.17,,1997,1,,7.3
110,5199,Mischief Makers,Platform,E,N64,Nintendo,"Treasure Co., Ltd.",6.5,,0.43,0.25,0.06,0.07,0.06,1997,1,,6.5
111,91,Mario Kart 64,Racing,E,N64,Nintendo,Nintendo EAD,8.5,,9.87,,,,,1997,1,,8.5
112,5265,Grandia,Role-Playing,,SAT,ESP,Game Arts,8.7,,0.42,,,0.42,,1997,1,,8.7
113,373,Star Fox 64,Shooter,E,N64,Nintendo,Nintendo EAD,9.0,,4.0,,,,,1997,1,,9.0
114,435,Croc: Legend of the Gobbos,Platform,E,PS,Fox Interactive,Argonaut Games,7.6,,3.56,1.57,1.79,,0.2,1997,1,,7.6
115,7478,Nightmare Creatures,Action,M,N64,Activision,Kalisto Entertainment,7.1,,0.26,0.21,0.05,,0.0,1997,1,,7.1
116,9077,AeroFighters Assault,Action,E,N64,Victory Lap Games,Paradigm Entertainment,5.4,,0.19,0.15,0.04,,0.0,1997,1,,5.4
117,9081,Mace: The Dark Age,Fighting,M,N64,Midway Games,Atari,7.1,,0.19,0.15,0.04,,0.0,1997,1,,7.1
118,9079,Hexen,Shooter,M,N64,GT Interactive,Software Creations,4.4,,0.19,0.15,0.04,,0.0,1997,1,,4.4
119,5034,Vandal Hearts,Role-Playing,M,PS,Konami,Konami Computer Entertainment Tokyo,7.7,,0.45,0.14,0.09,0.19,0.03,1997,1,,7.7
120,9265,Dead or Alive,Fighting,,SAT,Tecmo,Team Ninja,7.9,,0.18,,,0.18,0.0,1997,1,,7.9
121,7821,Spawn the Eternal,Action,M,PS,Sony Computer Entertainment,Sony Computer Entertainment,1.9,,0.24,0.14,0.09,,0.02,1997,1,,1.9
122,4324,Clock Tower,Adventure,M,PS,ASCII Entertainment,Human Entertainment,6.1,,0.53,0.07,0.05,0.38,0.03,1997,1,,6.1
123,8769,Ogre Battle Saga Episode Five: The March of the Black Queen,Role-Playing,E,PS,Atlus,Quest Corporation,7.6,,0.2,0.06,0.04,0.09,0.01,1997,1,,7.6
124,8804,Snowboard Kids,Sports,E,N64,Atlus,Racdym,8.0,,0.2,0.16,0.04,,0.0,1997,1,,8.0
125,4804,Doom 64,Shooter,M,N64,Midway Games,Midway Studios San Diego,7.4,,0.47,0.38,0.08,,0.01,1997,1,,7.4
126,4765,Alien Trilogy,Shooter,M,PS,Acclaim Entertainment,Probe Entertainment Limited,8.0,,0.47,0.24,0.16,0.04,0.03,1997,1,,8.0
127,90,Final Fantasy VII,Role-Playing,T,PS,Sony Computer Entertainment,SquareSoft,9.6,9.5,9.9,,,,,1997,1,,9.55
128,1779,Xenogears,Role-Playing,T,PS,Square,SquareSoft,7.8,,1.3,,,,,1998,1,,7.8
129,11071,The House of the Dead,Shooter,M,SAT,Sega,Tantalus Interactive,7.5,,0.13,,,0.13,0.0,1998,1,,7.5
130,1658,A Collection of Activision Classic Games for the Atari 2600,Misc,E,PS,Activision,"Livesay Technologies, Inc.",3.8,,1.37,0.76,0.52,,0.09,1998,1,,3.8
131,7417,Tomba!,Platform,E,PS,Sony Computer Entertainment,Whoopee Camp,8.6,,0.26,0.15,0.1,,0.02,1998,1,,8.6
132,1776,SaGa Frontier,Role-Playing,T,PS,Sony Computer Entertainment,SquareSoft,8.0,,1.3,,,,,1998,1,,8.0
133,3952,Diablo,Role-Playing,M,PS,Electronic Arts,Climax Group,8.3,,0.58,0.29,0.19,0.07,0.04,1998,1,,8.3
134,8093,Colony Wars: Vengeance,Simulation,E,PS,Psygnosis,Psygnosis,8.6,,0.23,0.13,0.09,,0.02,1998,1,,8.6
135,1470,NFL Blitz,Sports,E,PS,Midway Games,Midway Games,9.1,,1.5,1.41,0.05,,0.04,1998,1,,9.1
136,8350,Kartia: The Word of Fate,Strategy,E,PS,Atlus,Atlus Co.,7.9,,0.22,0.05,0.03,0.12,0.01,1998,1,,7.9
137,8282,Bust-A-Move 4,Puzzle,E,PS,Natsume,Taito Corporation,7.8,,0.22,0.12,0.08,,0.01,1998,1,,7.8
138,7197,Resident Evil 2: Dual Shock Edition,Action,M,PS,Capcom,Capcom,9.0,,0.27,,,0.26,0.02,1998,1,,9.0
139,1213,Twisted Metal III,Action,T,PS,989 Studios,989 Studios,4.4,,1.73,1.48,0.2,,0.05,1998,1,,4.4
140,1111,Turok 2: Seeds of Evil,Shooter,M,N64,Acclaim Entertainment,Iguana Entertainment,9.0,,1.86,1.37,0.41,0.04,0.04,1998,1,,9.0
141,11517,Akuji the Heartless,Platform,T,PS,Eidos Interactive,Crystal Dynamics,6.7,,0.12,0.07,0.04,,0.01,1998,1,,6.7
142,7086,Dead or Alive,Fighting,T,PS,Tecmo,Team Ninja,8.3,,0.28,0.09,0.06,0.1,0.02,1998,1,,8.3
143,9976,Buck Bumble,Action,E,N64,Ubisoft,Argonaut Games,6.8,,0.16,0.13,0.03,,0.0,1998,1,,6.8
144,7168,Armored Core: Project Phantasma,Simulation,T,PS,ASCII Entertainment,From Software,7.2,,0.28,0.06,0.04,0.15,0.02,1998,1,,7.2
145,3755,Tomb Raider III: Adventures of Lara Croft,Adventure,T,PC,Eidos Interactive,Core Design Ltd.,7.3,,0.62,0.59,0.03,,,1998,1,,7.3
146,4282,Bust A Groove,Misc,E,PS,989 Studios,Metro,7.7,,0.54,0.09,0.06,0.35,0.04,1998,1,,7.7
147,10691,Bio FREAKS,Action,M,N64,Midway Games,Saffire Corporation,6.2,,0.14,0.11,0.03,,0.0,1998,1,,6.2
148,3451,Bushido Blade 2,Fighting,T,PS,Square EA,Light Weight,7.5,,0.68,0.25,0.17,0.22,0.04,1998,1,,7.5
149,10687,The Granstream Saga,Role-Playing,T,PS,THQ,Shade,7.6,,0.14,0.08,0.05,,0.01,1998,1,,7.6
150,10536,The Fifth Element,Action,T,PS,Activision,Kalisto,3.7,,0.14,0.08,0.05,,0.01,1998,1,,3.7
151,1084,Parasite Eve,Role-Playing,M,PS,Square EA,SquareSoft,7.9,,1.9,,,,,1998,1,,7.9
152,3189,Baldur's Gate,Role-Playing,T,PC,Interplay,BioWare,9.2,,0.75,,,,,1998,1,,9.2
153,10326,Space Station Silicon Valley,Adventure,E,N64,Take-Two Interactive,DMA Design,8.3,,0.15,0.12,0.03,,0.0,1998,1,,8.3
154,4981,Apocalypse,Action,T,PS,Activision,Neversoft Entertainment,6.7,,0.45,0.25,0.17,,0.03,1998,1,,6.7
155,10383,Cardinal Syn,Fighting,M,PS,989 Studios,Kronos Digital Entertainment,5.2,,0.15,0.08,0.06,,0.01,1998,1,,5.2
156,5576,Bloody Roar,Fighting,T,PS,Sony Computer Entertainment,Eighting / Raizing,8.6,,0.39,0.22,0.15,,0.03,1998,1,,8.6
157,2445,Oddworld: Abe's Exoddus,Platform,T,PS,GT Interactive,Oddworld Inhabitans,8.6,,0.99,0.55,0.38,,0.06,1998,1,,8.6
158,2386,Breath of Fire III,Role-Playing,T,PS,Capcom,Capcom,7.6,,1.0,0.29,0.19,0.46,0.07,1998,1,,7.6
159,2301,Tales of Destiny,Role-Playing,T,PS,Namco,Wolfteam,6.2,,1.04,0.09,0.06,0.83,0.07,1998,1,,6.2
160,6009,Blasto,Action,T,PS,Sony Computer Entertainment,Unknown,4.6,,0.35,0.2,0.13,,0.02,1998,1,,4.6
161,6177,Backstreet Billiards,Misc,,PS,ASCII Entertainment,argent,7.2,,0.34,0.19,0.13,,0.02,1998,1,,7.2
162,2149,F-Zero X,Racing,E,N64,Nintendo,Nintendo EAD,8.5,,1.1,,,,,1998,1,,8.5
163,6241,Bomberman World,Puzzle,E,PS,Atlus,Hudson Soft,6.5,,0.33,0.06,0.04,0.22,0.02,1998,1,,6.5
164,2057,Brave Fencer Musashi,Role-Playing,E,PS,Square,SquareSoft,8.4,,1.14,0.25,0.17,0.65,0.07,1998,1,,8.4
165,2067,South Park,Shooter,M,N64,Acclaim Entertainment,Iguana Entertainment,6.0,,1.14,0.9,0.23,,0.02,1998,1,,6.0
166,2074,Final Fantasy VII,Role-Playing,T,PC,Eidos Interactive,SquareSoft,8.4,,1.14,,,,,1998,1,,8.4
167,3984,International Superstar Soccer '98,Sports,E,N64,Konami,Konami Computer Entertainment Osaka,9.1,,0.58,0.06,0.3,0.19,0.03,1998,1,,9.1
168,10926,Azure Dreams,Role-Playing,E,PS,Konami,Konami Computer Entertainment Tokyo,7.4,,0.13,0.07,0.05,,0.01,1998,1,,7.4
169,1997,Mission: Impossible,Action,T,N64,Ocean,Infogrames,6.6,,1.17,0.74,0.38,0.02,0.03,1998,1,,6.6
170,6888,Forsaken 64,Shooter,M,N64,Acclaim Entertainment,Iguana Entertainment,8.3,,0.29,0.23,0.06,,0.0,1998,1,,8.3
171,7132,Civilization II,Strategy,E,PS,Activision,LTI Grey Matter,8.2,,0.28,0.15,0.11,,0.02,1998,1,,8.2
172,1903,NBA Live 99,Sports,E,PS,EA Sports,NuFX,8.3,,1.22,1.13,0.05,,0.03,1998,1,,8.3
173,4806,Quest 64,Role-Playing,E,N64,THQ,Imagineer,5.4,,0.47,0.38,0.08,,0.01,1998,1,,5.4
174,9430,Brunswick Circuit Pro Bowling,Sports,E,PS,THQ,Adrenalin Entertainment,8.2,,0.18,0.1,0.07,,0.01,1998,1,,8.2
175,11960,Panzer Dragoon Saga,Role-Playing,T,SAT,Sega,Team Andromeda,9.1,,0.11,,,0.11,,1998,1,,9.1
176,638,A Bug's Life,Platform,E,PS,Sony Computer Entertainment,Traveller's Tales,3.6,,2.79,1.96,0.72,,0.11,1998,1,,3.6
177,416,Banjo-Kazooie,Platform,E,N64,Nintendo,Rare Ltd.,9.3,9.4,3.65,,,,,1998,1,,9.350000000000001
178,177,Metal Gear Solid,Action,M,PS,Konami,Konami Computer Entertainment Japan,9.3,,6.0,,,,,1998,1,,9.3
179,1022,Tenchu: Stealth Assassins,Action,M,PS,Activision,Acquire,8.8,,1.99,0.95,0.64,0.27,0.13,1998,1,,8.8
180,439,Tomb Raider III: Adventures of Lara Croft,Adventure,T,PS,Eidos Interactive,Core Design Ltd.,8.2,,3.54,1.66,1.58,0.12,0.18,1998,1,,8.2
181,872,The Legend of Zelda: Link's Awakening DX,Adventure,E,GBC,Nintendo,Nintendo EAD,9.4,,2.22,,,,,1998,1,,9.4
182,734,Final Fantasy Tactics,Role-Playing,T,PS,Sony Computer Entertainment,SquareSoft,8.8,,2.5,,,,,1998,1,,8.8
183,77,Gran Turismo,Racing,E,PS,Sony Computer Entertainment,Polyphony Digital,9.5,,10.85,,,,,1998,1,,9.5
184,992,1080: TenEighty Snowboarding,Sports,E,N64,Nintendo,Nintendo EAD,9.1,,2.03,,,,,1998,1,,9.1
185,902,Star Wars: Rogue Squadron,Simulation,T,N64,LucasArts,Factor 5,9.0,,2.17,,,,,1998,1,,9.0
186,115,Tekken 3,Fighting,T,PS,Namco,Namco,9.6,,8.3,,,,,1998,1,,9.6
187,824,Grand Theft Auto,Action,M,PS,Take-Two Interactive,DMA Design,6.0,,2.32,0.79,1.35,0.04,0.14,1998,1,,6.0
188,353,Half-Life,Shooter,M,PC,Sierra Entertainment,Valve Software,9.5,,4.12,4.03,0.0,0.09,,1998,1,,9.5
189,262,Resident Evil 2,Action,M,PS,Capcom,Capcom,9.3,,4.96,,,,,1998,1,,9.3
190,253,Spyro the Dragon,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,8.7,,5.0,3.36,1.36,0.07,0.21,1998,1,,8.7
191,5,Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,Game Freak,9.4,,31.38,,,,,1998,1,,9.4
192,141,Crash Bandicoot 3: Warped,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,9.3,,7.13,3.68,1.75,1.42,0.28,1998,1,,9.3
193,92,StarCraft,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,,9.5,,,,,1998,1,,8.7
194,127,The Legend of Zelda: Ocarina of Time,Adventure,E,N64,Nintendo,Nintendo EAD,9.9,10.0,7.6,,,,,1998,1,,9.95
195,11903,Batman & Robin,Action,T,PS,Acclaim Entertainment,Probe,5.4,,0.11,0.06,0.04,,0.01,1998,1,,5.4
196,12088,Metal Gear Solid Integral,Adventure,,PS,Konami,Konami,9.0,,0.11,,,0.1,0.01,1999,1,,9.0
197,3542,Legend of Legaia,Role-Playing,E,PS,Sony Computer Entertainment,Contrail,8.1,,0.66,0.37,0.25,,0.04,1999,1,,8.1
198,10951,Castrol Honda Superbike Racing,Racing,E,PS,Electronic Arts,Midas Interactive Entertainment,3.9,,0.13,0.07,0.05,,0.01,1999,1,,3.9
199,469,Grand Theft Auto 2,Action,,PS,Rockstar Games,DMA Design,6.9,,3.42,1.13,2.07,,0.22,1999,1,,6.9
